,Timestamp,SnowDepth_Max_m,SnowDepth_Min_m,Average_SnowDepth_m
1,2021-01-15,0.974,0.925,0.9495
2,2021-01-16,1.074,0.928,1.0010000000000001
3,2021-01-17,1.064,1.023,1.0434999999999999
4,2021-01-18,1.067,0.999,1.033
5,2021-01-19,1.146,1.022,1.084
6,2021-01-20,1.139,1.093,1.116
7,2021-01-21,1.113,1.079,1.096
8,2021-01-22,2.345,1.067,1.706
9,2021-01-23,1.15,1.063,1.1065
10,2021-01-24,2.343,1.065,1.704
11,2021-01-25,1.118,1.078,1.098
12,2021-01-26,1.106,1.074,1.09
13,2021-01-27,1.097,1.059,1.0779999999999998
14,2021-01-28,1.098,1.059,1.0785
15,2021-01-29,1.092,1.059,1.0755
16,2021-01-30,1.169,1.063,1.116
17,2021-01-31,1.251,1.129,1.19
18,2021-02-01,,,
19,2021-02-02,,,
20,2021-02-03,,,
21,2021-02-04,2.8,1.176,1.988
22,2021-02-05,2.8,1.351,2.0755
23,2021-02-06,2.8,1.514,2.157
24,2021-02-07,2.8,1.746,2.2729999999999997
25,2021-02-08,2.8,1.784,2.292
26,2021-02-09,2.8,1.83,2.315
27,2021-02-10,2.082,1.945,2.0135
28,2021-02-11,1.948,1.86,1.904
29,2021-02-12,2.8,1.798,2.299
30,2021-02-13,2.8,1.781,2.2904999999999998
31,2021-02-14,1.79,1.74,1.7650000000000001
32,2021-02-15,2.8,1.685,2.2424999999999997
33,2021-02-16,2.8,1.811,2.3055
34,2021-02-17,2.8,1.84,2.32
35,2021-02-18,2.8,2.1,2.45
36,2021-02-19,2.8,2.176,2.488
37,2021-02-20,2.216,2.109,2.1625
38,2021-02-21,2.8,2.125,2.4625
39,2021-02-22,2.128,2.056,2.092
40,2021-02-23,2.058,2.005,2.0315
41,2021-02-24,2.8,1.997,2.3985
42,2021-02-25,2.8,2.017,2.4085
43,2021-02-26,2.108,2.042,2.075
44,2021-02-27,2.8,1.99,2.395
45,2021-02-28,2.8,2.144,2.472
46,2021-03-01,2.273,2.163,2.218
47,2021-03-02,,,
48,2021-03-03,,,
49,2021-03-04,,,
50,2021-03-05,,,
51,2021-03-06,,,
52,2021-03-07,,,
53,2021-03-08,,,
54,2021-03-09,,,
55,2021-03-10,,,
56,2021-03-11,,,
57,2021-03-12,,,
58,2021-03-13,,,
59,2021-03-14,,,
60,2021-03-15,,,
61,2021-03-16,,,
62,2021-03-17,,,
63,2021-03-18,,,
64,2021-03-19,,,
65,2021-03-20,,,
66,2021-03-21,2.8,1.843,2.3215
67,2021-03-22,,,
68,2021-03-23,2.8,1.877,2.3385
69,2021-03-24,2.8,2.001,2.4005
70,2021-03-25,,,
71,2021-03-26,,,
72,2021-03-27,2.12,2.084,2.1020000000000003
73,2021-03-28,2.8,2.068,2.434
74,2021-03-29,,,
75,2021-03-30,2.002,1.982,1.992
76,2021-03-31,2.022,1.975,1.9985
77,2021-04-01,,,
78,2021-04-02,,,
79,2021-04-03,,,
80,2021-04-04,,,
81,2021-04-05,,,
82,2021-04-06,2.701,1.737,2.2190000000000003
83,2021-04-07,1.893,1.811,1.8519999999999999
84,2021-04-08,,,
85,2021-04-09,,,
86,2021-04-10,,,
87,2021-04-11,,,
88,2021-04-12,2.702,1.77,2.2359999999999998
89,2021-04-13,2.701,1.772,2.2365
90,2021-04-14,2.702,1.76,2.231
91,2021-04-15,2.702,1.809,2.2555
92,2021-04-16,2.702,1.81,2.2560000000000002
93,2021-04-17,,,
94,2021-04-18,,,
95,2021-04-19,,,
96,2021-04-20,2.8,1.82,2.31
97,2021-04-21,1.899,1.852,1.8755000000000002
98,2021-04-22,,,
99,2021-04-23,,,
100,2021-04-24,,,
101,2021-04-25,,,
102,2021-04-26,2.8,1.809,2.3045
103,2021-04-27,,,
104,2021-04-28,,,
105,2021-04-29,,,
106,2021-04-30,,,
107,2021-05-01,,,
108,2021-05-02,,,
109,2021-05-03,,,
110,2021-05-04,,,
111,2021-05-05,,,
112,2021-05-06,,,
113,2021-05-07,,,
114,2021-05-08,,,
115,2021-05-09,2.8,1.619,2.2095
116,2021-05-10,2.701,1.783,2.242
117,2021-05-11,,,
118,2021-05-12,,,
119,2021-05-13,,,
120,2021-05-14,,,
121,2021-05-15,,,
122,2021-05-16,,,
123,2021-05-17,,,
124,2021-05-18,,,
125,2021-05-19,,,
126,2021-05-20,,,
127,2021-05-21,1.227,1.113,1.17
128,2021-05-22,2.8,1.205,2.0025
129,2021-05-23,2.8,1.217,2.0084999999999997
130,2021-05-24,2.8,1.207,2.0035
131,2021-05-25,1.26,1.225,1.2425000000000002
132,2021-05-26,,,
133,2021-05-27,,,
134,2021-05-28,,,
135,2021-05-29,,,
136,2021-05-30,,,
137,2021-05-31,,,
138,2021-06-01,,,
139,2021-06-02,,,
140,2021-06-03,,,
141,2021-06-04,,,
142,2021-06-05,,,
143,2021-06-06,,,
144,2021-06-07,,,
145,2021-06-08,,,
146,2021-06-09,,,
147,2021-06-10,,,
148,2021-06-11,,,
149,2021-06-12,2.8,,2.8
150,2021-06-13,,,
151,2021-06-14,,,
152,2021-06-15,,,
153,2021-06-16,,,
154,2021-06-17,,,
155,2021-06-18,,,
156,2021-06-19,,,
157,2021-06-20,,,
158,2021-06-21,2.8,,2.8
159,2021-06-22,,,
160,2021-06-23,,,
161,2021-06-24,,,
162,2021-06-25,,,
163,2021-06-26,,,
164,2021-06-27,,,
165,2021-06-28,,,
166,2021-06-29,,,
167,2021-06-30,,,
168,2021-07-01,,,
169,2021-07-02,,,
170,2021-07-03,,,
171,2021-07-04,,,
172,2021-07-05,,,
173,2021-07-06,,,
174,2021-07-07,,,
175,2021-07-08,,,
176,2021-07-09,,,
